SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore,anomaly_cluster
75458281197696,44.61949163493268,0.4372530289318131,2.4718649417171226,1.1539674655829728,2.8237307260810605,8.773607,9.278578,8.107946,1.1706314,-15.516421,0.0377132584020571,-1,29,phot_rp_mean_mag,3.2553781795595627,0
320683733915264,44.76491823550084,1.0788416794272702,6.587289641125705,49.70073207450508,44.9502451121031,15.457306,16.8382,14.295185,2.5430145,-34.91773,0.0376372863841133,-1,30,bp_rp,3.623867940817441,2
1497229894979968,42.38610306175436,2.36409349067239,4.63157585582022,13.296557161422646,-139.98305855718553,15.331843,16.284342,14.367404,1.9169378,20.25241,0.0374451915606199,-1,31,pmdec,6.237179318168923,2
86693915665280,44.856484140123165,0.6802329091064019,7.9457636260696125,39.20072367924587,43.60302174924652,9.868173,10.166245,9.39827,0.7679758,31.442774,0.0374211208542549,-1,32,pmdec,2.594055825823096,0
774472798501120,46.75561090023727,2.134491835812317,12.864794696071058,16.606438520641703,46.134920598021466,9.742869,10.144306,9.175891,0.96841526,6.408355,0.0366576481434629,-1,33,parallax,4.268520718509362,0
613978460597248,46.93593705501945,1.8475097193233243,5.764100398709869,31.24028028509936,-13.334974544529723,8.761382,8.955068,8.420158,0.53490925,21.620523,0.0326354624755419,-1,34,phot_bp_mean_mag,3.144855932482295,0
332469124171904,44.819887017386776,1.2445538835450447,1.9900866479524288,12.403522019116712,-5.013637072151506,8.631828,8.641413,8.576149,0.06526375,15.14028,0.0326292696499577,-1,35,phot_bp_mean_mag,3.3499238761634738,0
384661566686720,43.83396053831552,1.383050405086603,5.29501651826468,90.43216622544804,-75.94618457805934,15.319402,16.45767,14.251204,2.2064667,43.7549,0.0292810801973588,-1,36,pmra,3.6029176979084094,2
1411674146537728,42.98368757524648,1.9919651698598573,9.200918713206,-25.090822947553008,-61.89931807082628,15.242869,16.434935,14.159734,2.2752008,5.2444015,0.0282808105026199,-1,37,bp_rp,2.9508630962540083,2
1066152617449600,46.26169849925982,2.941159994364313,4.473279872561656,14.944683447072103,-4.274779955404866,8.25175,8.599608,7.732424,0.86718464,11.552453,0.0276436511411105,-1,38,phot_rp_mean_mag,3.5236810510129613,0
1039420741032448,46.50942996259301,2.917776771819711,2.859521316069049,-44.26194704821741,-45.11143222170048,10.699382,11.225592,10.020989,1.2046022,-112.725365,0.0255038846625333,-1,39,radial_velocity,3.276846262774016,0
675379313032192,46.38608119407246,1.9707835108576768,6.795771505580588,60.09475239524902,-84.71188543236437,15.323047,16.742218,14.15236,2.589858,1.328567,0.0240248217712845,-1,40,bp_rp,3.741583735178622,2
1222626866037120,43.06321780516101,1.928948474937972,5.8656940538807385,17.247062919584423,2.009027205970436,9.067813,9.348697,8.617678,0.731019,-2.71064,0.0169915502320343,-1,41,phot_g_mean_mag,2.9145895838052,0
1179848991827328,43.71515976871402,1.6933218979734126,2.514201289372235,14.367357636401364,-27.43992174048904,8.700302,9.275297,7.9762044,1.2990928,0.54032004,0.0163530437648775,-1,42,phot_rp_mean_mag,3.349504887368599,0
1912776570845824,45.65370047942646,3.621333658997485,6.855277221648992,56.5092929923905,12.792217882456704,14.133645,15.24982,13.077332,2.1724882,23.839191,0.0138042933534777,-1,43,bp_rp,2.6927505448882423,2
1213006138643456,43.40279969005572,1.8781951893461832,8.518939615345458,99.06111175901322,34.500661396100696,14.759233,15.583872,13.640015,1.9438572,-27.766453,0.0103687510713772,-1,44,pmra,3.988414258725708,2
115727894578176,45.10561087170264,0.8123211433603595,10.390628064061833,8.531314381476955,-83.05072619114377,10.882218,11.367058,10.239973,1.1270847,9.915567,0.0072018564376665,-1,45,pmdec,3.4985031964215434,0
310341452648320,44.355987883935526,0.9981040904932832,7.19079435752457,-46.13730235078557,-46.848245950519406,10.66783,11.055059,10.119567,0.9354925,-1.4687073,0.0063852532935583,-1,46,pmra,2.4982982900701485,0
1546703623466880,42.95930440775832,2.920459159821903,2.9731512357879484,1.7952343434349656,1.77955160121579,10.038978,10.212755,9.7348385,0.47791672,20.493965,0.0059477132819502,-1,47,phot_bp_mean_mag,2.3225789501783303,0
1425830358704768,42.7529857336048,2.016595544570301,12.229727789012838,-33.510791674995104,-1.740992061758096,13.82362,14.997701,12.702963,2.2947378,16.642065,0.005440336712601,-1,48,parallax,4.00641437318915,2
9281425163264,45.16500904505109,0.2000526039402636,3.800303056480804,6.625745516204781,-53.31897375082107,10.64289,10.946025,10.176743,0.76928234,-26.799025,0.0052031613853377,-1,49,dec,2.4343291706962287,0
51750061767040,45.4671919813788,0.6550745957225156,5.036331280318584,97.95124032911588,-21.00164486225493,11.344228,11.736946,10.78821,0.9487362,53.544884,0.0041961570502025,-1,50,pmra,3.9388309559327386,0
