SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore,anomaly_cluster,local_density_score,mean_neighbor_distance,nearest_neighbor_ids,emergent_structure_rank
320683733915264,44.76491823550084,1.0788416794272702,6.587289641125705,49.70073207450508,44.9502451121031,15.457306,16.8382,14.295185,2.5430145,-34.91773,0.5754856056379555,-1,28,bp_rp,3.62386794081744,2,0.3850397621615021,2.597134369671079,"1213006138643456,77863462880768,339993906853248,154829276705920,675379313032192",40
1240631368988288,43.7474352249586,1.985125132516976,14.787355923680485,-29.84389679134609,-160.08675580456529,12.994784,14.045844,11.977854,2.0679903,-46.3987,0.6410240206725266,-1,5,pmdec,7.204248702508382,0,0.3752736539257703,2.664722102227369,"1166173815955456,1411674146537728,339993906853248,347278171374336,1611029348487680",41
755540582699392,47.62704817309152,2.463640960160351,7.71408533173123,83.88693589573188,-92.4246627012448,9.957337,10.2756405,9.471386,0.80425453,65.57477,0.6345418722559044,-1,9,pmdec,3.949427566108921,1,0.3686647947503814,2.7124911687776416,"695170522295168,613978460597248,1066152617449600,673008491088640,250246270117248",42
132667245587072,45.0727955724553,0.969970782487376,5.737753870967776,29.432375835260864,-93.78045808765803,7.4750457,8.025092,6.7722306,1.2528615,-73.29518,0.6584734247788637,-1,4,phot_rp_mean_mag,4.209719808717174,1,0.3636151677442936,2.7501603032766497,"75458281197696,673008491088640,120190364960512,250246270117248,115727894578176",43
1036706321717888,46.97620865297792,3.0654077936270854,4.796519299535264,28.16954957025261,-7.634456856002478,15.459299,16.63875,14.3773985,2.2613516,33.86144,0.5355529605111098,-1,48,bp_rp,2.9160606246353864,0,0.35994468611386604,2.7782046480422187,"675379313032192,896106271727872,596798591393792,1611029348487680,188020783957632",44
92603790642688,44.41500318632742,0.5679005443548504,10.969874447270998,124.6153679009258,66.85767871994857,9.920633,10.287307,9.385546,0.90176105,45.771442,0.6657403748548207,-1,2,pmra,5.130045970112984,1,0.3578801231385922,2.794231742265226,"86693915665280,44358422235136,1292480214037760,250246270117248,332469124171904",45
850236021522688,45.56523860938604,1.941113045918304,2.916306534451321,43.88085152132783,-104.92730724021322,12.676863,13.027752,12.148036,0.8797159,-89.93606,0.5440489173134175,-1,47,pmdec,4.550855482980838,0,0.3575587881991904,2.7967428937659284,"1811277903614976,1039420741032448,1166173815955456,896106271727872,188020783957632",46
1292480214037760,44.11843694271478,2.1668869996551168,18.92895612358451,77.63185348435385,108.76845623777496,10.8086815,11.542472,9.979353,1.5631189,7.728459,0.6368768998510451,-1,8,parallax,6.771336046362109,2,0.3516019308426451,2.8441254506283853,"535294659636864,1155453577587072,774472798501120,92603790642688,452212812313984",47
1811277903614976,45.10976661513767,3.376439664926681,2.745629798093961,49.70906515925044,-97.76934421432838,12.515791,12.879597,11.979311,0.9002857,-122.16464,0.5640359342728317,-1,33,pmdec,4.206528426549998,0,0.3013834714564201,3.318031991493263,"850236021522688,1039420741032448,896106271727872,1166173815955456,1611029348487680",48
83154862613888,44.937315650530685,0.6237932770156848,15.672103956026024,-98.23068091157214,-160.62516249378876,9.542494,9.953431,8.964564,0.9888668,-37.740585,0.69079939374155,-1,1,pmdec,7.23014824820212,1,0.2997365752631311,3.3362628472078386,"120190364960512,115727894578176,1240631368988288,132667245587072,44358422235136",49
1039420741032448,46.50942996259301,2.917776771819711,2.859521316069049,-44.26194704821741,-45.11143222170048,10.699382,11.225592,10.020989,1.2046022,-112.725365,0.5520055521771929,-1,39,radial_velocity,3.276846262774016,1,0.2987553378076303,3.3472205294742046,"1811277903614976,850236021522688,1066152617449600,673008491088640,1753553543188992",50
