SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore
1491972855004928,42.662593261013456,2.4014413566235584,0.6592703200368312,-2.5083361957744685,-15.858440089426251,14.6151905,15.045694,14.006966,1.0387287,22.099718,-0.0992745407030003,1,290,ra,2.0464384550100703
1763655306233600,44.56507282906834,2.77674223104513,1.5127134232949755,14.88679966245434,-3.067507043283516,13.034839,13.368735,12.509624,0.8591118,-19.520603,-0.0992783342006761,1,291,dec,1.2025793507131266
17149805245440,45.17287701331556,0.4036005073884775,1.6611671848228309,8.301591869838997,2.7901200010263136,12.165601,12.529331,11.627526,0.9018049,30.725399,-0.0998852172838914,1,292,dec,2.147028326706884
577557137916288,46.439852937716005,1.491373542053323,3.806253933864718,51.47449362950954,-37.69285820285205,14.502126,15.208406,13.6884365,1.5199699,-0.77799463,-0.0999504296235159,1,293,pmra,1.8624908120551122
768764786752768,47.51859383962291,2.543043190757292,2.878321458161538,-14.933634476193683,-12.72183607258196,12.339988,12.681362,11.830283,0.851079,-36.16882,-0.1003879543840418,1,294,ra,1.856210240549721
71365176672640,44.70365398801268,0.3998644920917412,1.304876264254586,10.727189659232728,11.75141436435057,13.303031,13.590313,12.857374,0.73293877,1.0985086,-0.1004133935636892,1,295,dec,2.1523015834180863
306802399602432,44.084088215400186,0.9459183119833324,2.3787637125235777,18.4051681906064,0.2939106313485342,14.805044,15.3891325,14.080145,1.3089876,54.34267,-0.100788926802311,1,296,dec,1.3815654536874593
1250045937274752,43.4749225565018,2.038665943178989,0.279931029527345,7.59482362037194,-16.129337191363774,14.209205,14.676802,13.575853,1.1009483,-144.55713,-0.1008499550541469,1,297,radial_velocity,4.127263996201918
1515887232933376,43.031196382168574,2.530232393160562,2.116230653352194,22.4188076452755,-8.997562833405642,14.702648,15.254462,14.003765,1.2506971,22.042864,-0.1009782786334591,1,298,ra,1.7502011571209457
1049625583313920,46.91736584854228,3.125378573818399,1.787369554796573,11.058241033446834,-2.008321645888048,11.547983,11.900055,11.020526,0.879529,34.596252,-0.1010644124412571,1,299,dec,1.6946675217396678
1439539894303232,42.73690472106884,2.2258069266157383,0.760206162212641,18.08116658748752,3.1537773750027687,14.52959,14.885569,13.99703,0.88853836,-14.966843,-0.1010894750620509,1,300,ra,1.986716155155375
233719236127616,45.11709598948343,1.1730207877587369,3.407983853052303,23.086691488740453,-18.63334909074592,14.744965,15.524195,13.882684,1.641511,-17.54123,-0.1012808430925784,1,301,bp_rp,1.3584266176480506
1216231659020416,43.19286574309429,1.7535964021616668,2.295356870829341,-23.589933649128003,-18.770306260815143,12.365778,12.676109,11.888309,0.7878008,-15.147583,-0.1016746119741311,1,302,ra,1.6202714525595439
954517827412864,45.64465817512218,2.491097816382334,4.753755319272882,55.1955903757769,-28.363662204957247,13.872137,14.622873,13.033181,1.5896921,36.07133,-0.1017730393986441,1,303,pmra,2.028730127458675
1219465770114176,42.93831751192156,1.7801182038574863,2.865231210235626,3.5161062635332483,-38.21016081618855,13.712798,14.18149,13.082833,1.0986567,-51.413025,-0.1019066110606179,1,304,ra,1.8248456296548368
808725162741888,46.76678808056764,2.62491945816334,2.090670283634561,4.9568727565023885,9.309479464960456,11.463982,11.715909,10.858666,0.8572426,49.346806,-0.1021086567637905,1,305,phot_bp_mean_mag,1.3398154048302946
1251008009949440,43.40835818130106,2.0478774250031586,3.1858755851945206,25.555773403672383,2.200634672216255,14.768944,15.545277,13.911966,1.6333103,17.667091,-0.1027801775459734,1,306,ra,1.4470854594245335
583192135011200,46.33452579089224,1.4711592048056643,3.1970255041831392,-19.579186927521057,-14.443588777612238,14.774452,15.569492,13.899628,1.6698647,-43.486702,-0.102921968864429,1,307,bp_rp,1.4296783029102245
