SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank
69307888039424,45.311908194150476,0.798502348023992,1.600272631039245,5.147626924098342,-6.23854676069543,14.71235,14.895682,13.947918,0.9477644,-44.76058,0.39571404642739,1,546
426954108963840,44.88865740523155,1.305169394644326,0.7453053077408327,6.502808335911255,-4.914776611695118,11.49791,12.000053,10.833937,1.1661167,0.4096845,0.39565544672882885,1,547
1379543495496960,44.3414566355132,2.612135695182594,0.9422426511173405,-2.3148550741585208,-1.7863331672336857,12.142162,12.665461,11.461779,1.203682,50.55778,0.39555310621509027,1,548
1370786057738624,44.01070932280379,2.628228753454678,0.1870947058760455,10.087074109822723,-6.520099861423489,13.664819,14.210747,12.967791,1.2429562,58.10578,0.39553936055460065,1,549
971251020192640,45.54525057181833,2.6943354469787204,1.931215339699381,15.772832612183675,8.189368306834785,12.808606,13.023163,12.216315,0.8068476,48.912823,0.3954338239807265,1,550
53983444739712,45.14078409596366,0.5116957183698138,0.934464637201305,1.8532447321175316,-8.700692858878098,14.56304,14.932571,14.02287,0.90970135,22.361938,0.3953711854567094,1,551
180697864082688,45.94159638103293,1.0139952931990945,2.5714434044881394,6.972934682258587,-12.074368617698594,12.010885,12.312369,11.544214,0.7681551,-5.741997,0.39535613466340536,1,552
764542834123392,47.2241681217774,2.4688047086437552,2.7585528608785705,20.98069073035493,-7.077180611378211,14.507361,15.141701,13.742251,1.3994493,18.62731,0.39523964957877045,1,553
822748230873984,47.18739891048408,2.653513590970145,2.378155089811534,-7.307832964447554,-7.523481999948109,14.11514,14.638787,13.445392,1.1933956,-5.179441,0.39498874628481756,1,554
101880919994240,44.64582778277528,0.7465580436138637,0.8758933312237532,14.728551501155998,-7.79208943219125,14.5829115,14.93951,14.05485,0.8846607,25.704891,0.3949154803201418,1,555
978908946116992,45.7506352737073,2.801563202242643,1.1776492605253774,1.6609770547492473,4.53276772440947,12.732768,13.223216,12.07976,1.1434565,17.243298,0.3948741917384031,1,556
55735791423104,45.32884512940796,0.5966386770080396,1.5066214196872123,-7.342479593604063,-0.9114765506064872,13.720588,14.102062,13.176903,0.92515945,-23.767426,0.39487259021787774,1,557
1316600750386048,44.68183848631326,2.4142232739004217,4.160726671084551,-12.163446807217642,3.6020542911579043,13.01639,13.495904,12.376431,1.1194725,-17.984709,0.39483130505684194,1,558
1470120061475968,43.17900120164244,2.4432852502000784,3.125380438256464,4.928195375198246,-7.54666121361751,12.321937,12.6855545,11.789641,0.8959131,-9.304449,0.3946712730530114,1,559
355043472416640,44.088504524743605,1.0677213356906277,1.5125198568715414,11.71356001135208,-29.98971773285587,14.297611,14.61551,13.212768,1.4027424,-26.066992,0.3945032515760964,1,560
33711199137024,45.07919481934693,0.5254019658039841,1.6176786267862924,12.048024859074514,-0.373347874364206,14.064689,14.398673,13.557338,0.8413353,-34.40344,0.3944707963303339,1,561
573021652473600,46.57224351756203,1.423923275433311,1.7122729491758912,2.610436160368899,-6.543717666961324,14.7770195,15.272735,14.124809,1.1479254,1.4364969,0.39443210020469005,1,562
1174725095638144,44.048000295720094,1.7661295016606726,2.202539473093549,-6.701507883591475,-4.584574757730281,11.477312,11.776145,11.004988,0.77115726,-1.0294194,0.39442786895989285,1,563
576010949709824,46.6681450025743,1.545457224570983,2.9337956105560132,14.905113510316907,14.801061625130194,12.894705,13.257004,12.363636,0.89336777,26.778725,0.39441335226778246,1,564
1222936103683968,43.217499436980766,1.8193628158181325,0.265404332414676,3.154082817691335,-6.984724961656578,13.789933,14.321614,13.101461,1.2201529,-4.231667,0.394374476764483,1,565
751486133572352,47.67259484931531,2.413646102844031,1.7452778982067432,13.779105562978124,-2.9348780445360814,14.134056,14.563573,13.535492,1.0280809,40.79301,0.3943613111131548,1,566
